Id,Avg_Daily_Steps,Avg_Daily_Calories,Avg_Sleep_Hours,Avg_Sedentary_Minutes,Avg_VeryActive_Minutes,Avg_FairlyActive_Minutes,Avg_LightlyActive_Minutes
1503960366,12405,1872,6.000000,759,37,20,233
1644430081,7967,2977,4.900000,920,2,19,241
1844505072,3477,1676,10.866666,443,0,2,145
1927972279,1490,2316,6.950000,977,0,0,85
2026352035,5618,1540,8.433333,653,0,0,256
2320127002,5079,1804,1.016666,1129,0,0,242
2347167796,8533,1971,7.433333,628,9,16,245
3977333714,11218,1560,4.883333,716,19,61,181
4020332650,6596,3195,5.816666,841,15,15,218
4319703577,7125,2024,7.933333,642,2,12,244
4388161847,11034,3141,6.666666,745,27,20,240
4445114986,4756,2183,6.416666,787,6,1,209
4558609924,8139,2197,2.116666,1028,19,25,268
4702921684,9035,3019,6.950000,697,5,23,255
5553957443,8612,1875,7.716666,668,23,13,206
5577150313,9260,3539,7.200000,667,97,33,164
6117666160,8823,2460,7.966666,531,2,2,359
6775888955,3499,2344,5.816666,964,10,14,82
6962181067,9794,1982,7.466666,662,22,18,245
7007744171,5115,2150,1.133333,1148,0,0,220
7086361926,10290,2657,7.550000,723,47,27,158
8053475328,19078,3309,4.950000,837,111,13,176
8378563200,8717,3436,7.416666,716,58,10,156
8792009665,3443,2299,7.250000,807,1,7,169
